sample,replicate,pasture,invasion,soil.treatment,week,height,log.height
FUI.MS4,4,finner,Uninvaded,MSS,week4,24.13,3.18345588
FUI.MS5,5,finner,Uninvaded,MSS,week4,11.43,2.436241478
FUI.IS1,1,finner,Uninvaded,ISS,week4,10.16,2.318458442
FUI.IS2,2,finner,Uninvaded,ISS,week4,18.7325,2.930259983
FUI.IS3,3,finner,Uninvaded,ISS,week4,15.875,2.764745545
FUI.IS4,4,finner,Uninvaded,ISS,week4,24.13,3.18345588
ESI.MS1,1,el.salto,Invaded,MSS,week5,26.3525,3.271563147
ESI.MS2,2,el.salto,Invaded,MSS,week5,19.685,2.979856924
ESI.MS3,3,el.salto,Invaded,MSS,week5,40.3225,3.696909626
ESI.MS4,4,el.salto,Invaded,MSS,week5,50.4825,3.921626742
ESI.MS5,5,el.salto,Invaded,MSS,week5,59.3725,4.083831156
ESI.IS1,1,el.salto,Invaded,ISS,week5,24.765,3.209431366
ESI.IS2,2,el.salto,Invaded,ISS,week5,38.4175,3.648513085
ESI.IS3,3,el.salto,Invaded,ISS,week5,52.07,3.952588967
ESI.IS4,4,el.salto,Invaded,ISS,week5,44.45,3.794364962
ESI.IS5,5,el.salto,Invaded,ISS,week5,16.51,2.803966258
NCI.MS1,1,north.cuates,Invaded,MSS,week5,20.6375,3.027109809
NCI.MS2,2,north.cuates,Invaded,MSS,week5,59.69,4.089164502
NCI.MS3,3,north.cuates,Invaded,MSS,week5,58.7375,4.073078364
NCI.MS4,4,north.cuates,Invaded,MSS,week5,66.04,4.190260619
NCI.MS5,5,north.cuates,Invaded,MSS,week5,59.3725,4.083831156
NCI.IS1,1,north.cuates,Invaded,ISS,week5,49.8475,3.908968345
NCI.IS2,2,north.cuates,Invaded,ISS,week5,53.0225,3.970716352
NCI.IS3,3,north.cuates,Invaded,ISS,week5,41.91,3.735524462
NCI.IS4,4,north.cuates,Invaded,ISS,week5,20.6375,3.027109809
NCI.IS5,5,north.cuates,Invaded,ISS,week5,39.6875,3.681036277
FI.MS1,1,finner,Invaded,MSS,week5,30.7975,3.427433518
FI.MS2,2,finner,Invaded,MSS,week5,49.8475,3.908968345
FI.MS3,3,finner,Invaded,MSS,week5,65.7225,4.185441333
FI.MS4,4,finner,Invaded,MSS,week5,67.31,4.209308814
FI.MS5,5,finner,Invaded,MSS,week5,55.88,4.023206534
FI.IS1,1,finner,Invaded,ISS,week5,55.5625,4.017508513
FI.IS2,2,finner,Invaded,ISS,week5,72.39,4.282068168
FI.IS3,3,finner,Invaded,ISS,week5,75.565,4.324993213
FI.IS4,4,finner,Invaded,ISS,week5,22.86,3.129388658
FI.IS5,5,finner,Invaded,ISS,week5,58.42,4.067658297
ESUI.MS1,1,el.salto,Uninvaded,MSS,week5,26.3525,3.271563147
ESUI.MS2,2,el.salto,Uninvaded,MSS,week5,41.91,3.735524462
ESUI.MS3,3,el.salto,Uninvaded,MSS,week5,23.8125,3.170210653
ESUI.MS4,4,el.salto,Uninvaded,MSS,week5,22.225,3.101217781
ESUI.MS5,5,el.salto,Uninvaded,MSS,week5,23.8125,3.170210653
ESUI.IS1,1,el.salto,Uninvaded,ISS,week5,27.305,3.307069836
ESUI.IS2,2,el.salto,Uninvaded,ISS,week5,28.575,3.35253221
ESUI.IS3,3,el.salto,Uninvaded,ISS,week5,23.1775,3.14318198
ESUI.IS4,4,el.salto,Uninvaded,ISS,week5,15.24,2.72392355
